Name	X	Y	Source	Mg	Al	Si	P	S	Cl	K	Ca	Ti	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Sr	Ba	Pb	Hg	Tl	Rb	Ga	Zr	Bi	Na	W	Nd	Pr	Sc	V	Au	Se	Ge	sluda	smektit	hlorit	kaolinit	ceolit	kvarc	kps	plagioklaz	rogovaa_obmanka	gips
NS3	42,490695	43,224633	LS	0,42	4,51	125,3	0,24	0,87	0,38	2,84	3,02	0,37	0,08	0,57	3,72			0,2	0,12		0,8	0,3							0,34								0,15		15	1	5			52	5	19	3	
NS4	42,490015	43,224712	LS	0,3	1,52	298		0,86		2,4	1,72	0,56	0,1	0,12	4,12	0,5	0,1	0,2	0,12	0,4	1,2	0,8	0,32	0,41					0,41										17		1	2		56	6	17		
NS5	42,488481	43,225449	LS	0,43	6,66	219,7	0,25	0,35	0,34	5,21	1,75	1,15	0,2	1,2	6,72	0,07	0,02	0,4	1,3		0,3	1,5																	12		1	0,5		61	6	19		
ST1	42,462518	43,220208	ST		6,73	228,2				2,55	0,63			0,3	2,51		0,1		0,2		0,5	1,8																	4		1	0,5		53	11	30		
ST7	42,467429	43,220792	ST		5,57	185,3	1,9	3,1	2,1	3,87	2,11	6,17		1,4	7,66				0,6		1,1	1,6															0,085		11	0,5	2	0,5		40	23	23		
ST10	42,468633	43,22046	ST		6,49	170,6		1,5		2,54	0,96	1,58	0,2	1,3	10,77				0,2		1,1	0,7													0,5				7		8			50	8	27		
ST11	42,469019	43,221048	ST		2,23	270				2,21	0,5	0,86	0,2	0,4	1,46				0,3		0,5	1,1				0,5									0,15				11	1	2	0,5		55	14	17		
ST12	42,470028	43,220308	ST		7,18	207,3	0,3	0,21		3,99	0,9	0,71		1,2	8,61				0,5		1,1	1,3																	9	0,5	5	1		41	10	34	0,5	
ST13	42,47064	43,219877	ST	1,31	8,97	277,5	0,46	0,18	0,29	6,56	1,3	0,79	0,2	0,7	5,17				0,16		0,6	1,6												0,1		1,4			7		10			42	7	34		
ST14	42,472442	43,221272	ST		5,87	167,4	0,21	0,28	0,29	2,41	0,98	0,65		1,4	9,37				1,4		1,1	1,6		0,48															14		14			31	8	33		
ST15	42,472571	43,220234	ST		10,21	304,7	0,18	0,28		6,31	3,32	1,17		1,3	7,14	0,7			0,3		0,7	2,2																	3		8	1		45	3	40		
ST16	42,472641	43,220311	ST		6,32	159,9		3		5,59	1,23	0,71		1	5,03	0,3			0,5		0,7	1,9																	6		2			57	14	21		
ST17	42,47448	43,219354	ST		8,38	361,3				8,66	0,55	0,15		2	13,45				1		0,7	2,4																	11		2	0,5		32	31	24		
ST18	42,474397	43,218505	ST	0,56	5,4	138,4				5,66	0,16	0,49	0,3	0,6	3,35	0,4			0,3		0,7	1,5	1,02												0,3				9		3	1		50	13	24		
ST19	42,474686	43,217588	ST	1,12	6	234,5	0,9	0,7		4,83	0,71	0,35	0,1	0,3	1,92			0,1	0,2		0,3	0,7	1,1																5		0,5	0,5		63	11	20		
ST2	42,463645	43,22091	ST		5,14	154,6				3,25	0,2	0,3		1	10,11				0,3		0,2	0,8																	6		2	1		57	12	22		
ST20	42,476744	43,21978	ST		5,55	152,3	0,22	0,24		2,68	0,89	1,13	0,2	0,9	7,2			0,2	0,5		1,2	0,5																	6	1	1	1		59	10	20		
ST21	42,477588	43,216533	ST	0,5	7,86	384,6				5,02	0,78	0,16		3,36	2,89		0,6		0,8	0,2	0,3	0,8	0,9								1,6								10		3			56	13	18		
ST22	42,478431	43,215865	ST	0,35	5,07	234,3				4,95	0,28	0,11		0,4	1,36		0,1	0,2	0,15		0,4	0,9	0,6			0,4													9		2			46	15	28		
ST23	42,480439	43,218026	ST	0,38	4,55	203,1				6,91	0,71	1,01	0,1	0,1	1,82		0,3		0,3		0,7	2,2	1,2	0,15															3		1			69	8	19		
ST24	42,484885	43,217697	ST	0,69	8,67	238,5				5,91	0,24	0,26	0,1	0,2	2,04				0,3		0,7	4,4				0,5													23		4			51	4	18		
ST25	42,486914	43,218286	ST	0,52	4,76	209,3				5,2	0,87	0,32		0,6	2,55	0,5			0,4		0,6	0,7		0,9															20		3			43	8	26		
ST26	42,487506	43,218822	ST	0,46	8,88	166				10,03	0,21	0,69		0,3	2,11			0,4	0,2		0,8	1,7				0,8					0,15				0,5				6		4			59	10	20		
ST27	42,47854788	43,21716955	ST		8,48	224,9		1		6,51	0,38	0,19	0,1	0,4	2,38	0,3	0,1	0,4	0,4		0,5	0,7																	6		2	3		63	6	19	1	
ST28	42,48101397	43,21929833	ST	1,02	2,8	128,9				2,31	1,89	0,52	0,4	0,5	3,84				1,4		0,7	1,2	0,26																5		5	1		48	8	31		
ST3	42,4652	43,220358	ST		6,66	291,6				5,48	0,23	0,2		0,2	0,53			0,1	0,17		0,3	0,6		0,11		0,3													5	1	1			55	10	28		
ST4	42,465537	43,220919	ST		1,36	419,2				0,52	0,13	0,21		0,1	0,39		0,1	0,1	0,26		0,2	0,3																	11	1	1			61	5	21		
ST5	42,466709	43,220782	ST		11,8	240,5	0,5			9,84	0,22	1,14		1,02	6,84				0,5		0,4	1,7				0,5													12	0,5	3			43	18	22		
ST6	42,467247	43,220412	ST	0,51	8,12	300,4	1,5	0,14		8,8	1,31	0,67	0,3	0,9	2,65	0,2	0,1	0,2	0,2	0,1	0,5	1,8	0,5			0,4													9	3	1			45	16	25		
ST8	42,467657	43,220774	ST	0,59	8,03	256,6		1,1		7,66	1,05	0,42	0,1	0,7	3,48				0,3		0,4	1,5		0,11		0,8													11	1	2			46	18	22		
ST9	42,467986	43,220383	ST	0,21	4,06	201,65		1,2		8,46	0,6	0,25	0,1	0,3	3,23	0,3	0,14	0,4	0,3		0,7	2,1																	8		3			65	5	19		
STorg1	42,467851	43,221212	ST	0,65	8,78	299,9				9,3	0,62	0,78	0,3	0,4	4,29	0,4	0,3		0,3		0,3	2,5	0,13																6		6	0,5		49	19	19	1	
STorg2	42,468826	43,220695	ST	0,81	4,77	247	0,16	0,19		3,15	0,8	0,51	0,2	0,5	2,63				0,2		0,5	0,5												0,11					3	0,5	0,5			63	4	29		
STorg3	42,46959	43,220969	ST	0,24	6,73	234,4	0,43	0,18	0,32	5,37	1,3	0,83		0,8	4,43	0,4		0,2	0,2		0,7	1,7																	12		4			46	15	22	1	
WS1	42,488796	43,223865	LS	1,51	7,41	311,9		0,56		7,74	0,86	0,95	0,2	1,5	5,59			0,2	1,2		0,2	1,5	1,9					0,12			0,2								12		4	2		51	7	21		
WS2	42,488534	43,22338	LS	1,5	6,41	206,9		0,46	0,35	5,7	1,4	1,04		0,26	10,29			0,3	1,1		0,25	2,7																	20		6	1		50	10	13		
WS3	42,488343	43,22304	LS	0,19	6,92	193,8				4,02	2,11	1,18	0,3	4,3	11,29				0,6		1,1	1,5						0,12											24	1	1	2		55	4	12	0,5	
WS4	42,488904	43,221728	LS	1,11	4,44	184,3				3,31	1,94	2,7		0,8	2,31	0,5		0,13	0,8	0,2	0,8	1,3	2,2								0,19								19	2	6	1		52	4	15		
NV1	42,483277	43,230453	NV_left_slope		9,28	277,4				5,71	3,1	0,27		0,25	11,51	0,13		0,02	0,7	0,02	0,4	1,03	0,09								0,08								48	0	8	0		31	3	10	0	
